"continent","country","iso3","iron_abs","phytate_mg","npeople","gdd_yn"
"Africa","Algeria","DZA",10.0873669960034,1584,42228415,"Reported"
"Africa","Angola","AGO",9.67470783543197,1404,30809787,"Reported"
"Africa","Benin","BEN",9.24494391444839,1799,11485035,"Reported"
"Africa","Botswana","BWA",9.31907352029693,1741,2254067,"Reported"
"Africa","Burkina Faso","BFA",5.28339814271894,3831,19751466,"Reported"
"Africa","Burundi","BDI",9.21745268150036,1632,11175379,"Reported"
"Africa","Cameroon","CMR",8.74313177549126,2012,25216261,"Reported"
"Africa","Cape Verde","CPV",8.1995012418098,2398,543764,"Reported"
"Africa","Central African Republic","CAF",10.5344559928264,1548,4666375,"Reported"
"Africa","Chad","TCD",7.08144035345843,2980,15477727,"Reported"
"Africa","Comoros","COM",10.1359918410388,1471,832322,"Reported"
"Africa","Congo - Brazzaville","COG",11.0816001708489,1153,5244363,"Reported"
"Africa","Congo - Kinshasa","COD",10.754727738003,1021,84068092,"Reported"
"Africa","Côte d’Ivoire","CIV",8.60751458601937,2191,25069226,"Reported"
"Africa","Djibouti","DJI",10.9709654478057,1093,958923,"Reported"
"Africa","Egypt","EGY",8.87570387034557,2000,98423602,"Reported"
"Africa","Equatorial Guinea","GNQ",10.3850610365103,1258,1308966,"Reported"
"Africa","Eritrea","ERI",10.2549082001567,1345,NA,"Reported"
"Africa","Eswatini","SWZ",8.39655733542957,1884,1136274,"Reported"
"Africa","Ethiopia","ETH",8.94690082179343,1724,109224410,"Reported"
"Africa","Gabon","GAB",9.99701369081822,1440,2119275,"Reported"
"Africa","Gambia","GMB",9.57757752480227,1722,2280092,"Reported"
"Africa","Ghana","GHA",10.5310601552748,1437,29767108,"Reported"
"Africa","Guinea","GIN",9.23090286646843,1605,12414292,"Reported"
"Africa","Guinea-Bissau","GNB",9.108614937951,1653,1874304,"Reported"
"Africa","Kenya","KEN",8.41038889592251,1893,51392570,"Reported"
"Africa","Lesotho","LSO",6.20001957170125,3357,2108327,"Reported"
"Africa","Liberia","LBR",10.2801132589488,1743,4818976,"Reported"
"Africa","Libya","LBY",10.0937064611465,1650,6678565,"Reported"
"Africa","Madagascar","MDG",10.2386631488294,1241,26262313,"Reported"
"Africa","Malawi","MWI",7.7262979906324,2584,18143215,"Reported"
"Africa","Mali","MLI",8.12415875228863,2577,19077755,"Reported"
"Africa","Mauritania","MRT",10.3315004651006,1447,4403312,"Reported"
"Africa","Mauritius","MUS",10.584812228918,1664,1265300,"Reported"
"Africa","Morocco","MAR",9.60916521813821,1983,36029089,"Reported"
"Africa","Mozambique","MOZ",9.31499827891729,1781,29496009,"Reported"
"Africa","Namibia","NAM",9.10932972723338,1809,2448300,"Reported"
"Africa","Niger","NER",7.06500489670194,2562,22442831,"Reported"
"Africa","Nigeria","NGA",9.25951958295691,1704,195874685,"Reported"
"Africa","Rwanda","RWA",8.95279876644967,1607,12301969,"Reported"
"Africa","Senegal","SEN",9.50769350958859,1659,15854324,"Reported"
"Africa","Seychelles","SYC",11.1959969902695,1899,96763,"Reported"
"Africa","Sierra Leone","SLE",10.5394888561955,1541,7650149,"Reported"
"Africa","Somalia","SOM",8.94690082179343,1724,15008225,"Borrowed"
"Africa","South Africa","ZAF",10.2425524802933,2248,57792520,"Reported"
"Africa","South Sudan","SSD",9.72679107917683,1548,10975924,"Reported"
"Africa","Sudan","SDN",10.4998417529389,1123,41801532,"Reported"
"Africa","São Tomé & Príncipe","STP",8.61611887783158,2449,211032,"Reported"
"Africa","Tanzania","TZA",8.92202572074263,1876,56313444,"Reported"
"Africa","Togo","TGO",9.88185321496661,1607,7889095,"Reported"
"Africa","Tunisia","TUN",10.0447114788899,1625,11565203,"Reported"
"Africa","Uganda","UGA",8.80776207620968,1681,42729032,"Reported"
"Africa","Zambia","ZMB",9.30034178983409,2068,17351714,"Reported"
"Africa","Zimbabwe","ZWE",8.47615953417347,2170,14438812,"Reported"
"Americas","Antigua & Barbuda","ATG",11.9954506914314,740,96282,"Reported"
"Americas","Argentina","ARG",12.3792801478297,659,44494503,"Reported"
"Americas","Aruba","ABW",11.1483260793361,976,105846,"Borrowed"
"Americas","Bahamas","BHS",11.4442633657325,1118,385635,"Reported"
"Americas","Barbados","BRB",11.9936753284545,1246,286640,"Reported"
"Americas","Belize","BLZ",11.6634748272679,1618,383071,"Reported"
"Americas","Bermuda","BMU",10.6273146019811,1114,NA,"Borrowed"
"Americas","Bolivia","BOL",11.7018740866185,1004,11353140,"Reported"
"Americas","Brazil","BRA",11.3537946537901,1302,209469320,"Reported"
"Americas","British Virgin Islands","VGB",10.6266939459891,1012,NA,"Borrowed"
"Americas","Canada","CAN",10.7824032126435,1207,37065084,"Reported"
"Americas","Cayman Islands","CYM",10.9435287901694,1019,NA,"Borrowed"
"Americas","Chile","CHL",11.6762704598539,879,18729166,"Reported"
"Americas","Colombia","COL",13.1241702928274,1043,49661056,"Reported"
"Americas","Costa Rica","CRI",12.2709969082816,1369,4999443,"Reported"
"Americas","Cuba","CUB",11.5199016017927,1851,11338146,"Reported"
"Americas","Curaçao","CUW",11.1483260793361,976,159336,"Borrowed"
"Americas","Dominica","DMA",9.34875475274946,1697,NA,"Reported"
"Americas","Dominican Republic","DOM",11.4968264647578,895,10627147,"Reported"
"Americas","Ecuador","ECU",11.4247255483593,686,17084359,"Reported"
"Americas","El Salvador","SLV",8.87435420843728,2496,6420740,"Reported"
"Americas","Grenada","GRD",10.7743715328696,1020,111449,"Reported"
"Americas","Guatemala","GTM",9.4110268627566,2218,16346951,"Reported"
"Americas","Guyana","GUY",11.5142124408659,1425,779007,"Reported"
"Americas","Haiti","HTI",10.3267069367326,1027,11123183,"Reported"
"Americas","Honduras","HND",9.42595853854055,2162,9587523,"Reported"
"Americas","Jamaica","JAM",10.9435287901694,1019,2934853,"Reported"
"Americas","Mexico","MEX",7.66746864309942,3028,126190782,"Reported"
"Americas","Nicaragua","NIC",9.61062988265998,2084,6465502,"Reported"
"Americas","Panama","PAN",11.3900789689816,1332,4176868,"Reported"
"Americas","Paraguay","PRY",12.0480510257884,1290,6956069,"Reported"
"Americas","Peru","PER",12.4597549221208,1126,31989265,"Reported"
"Americas","Puerto Rico","PRI",11.5199016017927,1851,3193356,"Borrowed"
"Americas","Saint Martin (French part)","MAF",10.6266939459891,1012,NA,"Borrowed"
"Americas","Sint Maarten","SXM",10.6266939459891,1012,NA,"Borrowed"
"Americas","St. Kitts & Nevis","KNA",10.6266939459891,1012,NA,"Borrowed"
"Americas","St. Lucia","LCA",10.6266939459891,1012,181890,"Reported"
"Americas","St. Vincent & Grenadines","VCT",10.8616476656761,1276,110210,"Reported"
"Americas","Suriname","SUR",11.7939822560975,1070,575987,"Reported"
"Americas","Trinidad & Tobago","TTO",11.5123225174399,1100,1389841,"Reported"
"Americas","Turks & Caicos Islands","TCA",11.4442633657325,1118,NA,"Borrowed"
"Americas","U.S. Virgin Islands","VIR",10.6273146019811,1114,106999,"Borrowed"
"Americas","United States","USA",10.6273146019811,1114,326838198,"Reported"
"Americas","Uruguay","URY",12.3949790175118,900,3449290,"Reported"
"Americas","Venezuela","VEN",11.1483260793361,976,28887117,"Reported"
"Asia","Afghanistan","AFG",7.820663828031,2170,37171922,"Reported"
"Asia","Armenia","ARM",10.6701036057044,2580,2951741,"Reported"
"Asia","Azerbaijan","AZE",7.92281529695915,4181,9939771,"Reported"
"Asia","Bahrain","BHR",7.3193730615535,3429,1569440,"Reported"
"Asia","Bangladesh","BGD",9.41747012336205,1576,161376713,"Reported"
"Asia","Bhutan","BTN",8.38404631434277,2171,754396,"Reported"
"Asia","Brunei","BRN",12.3128482117678,1658,428960,"Reported"
"Asia","Cambodia","KHM",10.7808074054986,1307,16249795,"Reported"
"Asia","China","CHN",11.5814857105643,1453,1402760001,"Reported"
"Asia","Cyprus","CYP",10.7524634822226,1308,1189262,"Reported"
"Asia","Georgia","GEO",7.67823726707668,3465,3726547,"Reported"
"Asia","Hong Kong SAR China","HKG",11.5814857105643,1453,7450999,"Borrowed"
"Asia","India","IND",7.51047537535135,2332,1352642283,"Reported"
"Asia","Indonesia","IDN",10.7520967413118,1550,267670549,"Reported"
"Asia","Iran","IRN",5.45168876155249,3763,81800204,"Reported"
"Asia","Iraq","IRQ",8.73912985918233,3415,38433604,"Reported"
"Asia","Israel","ISR",14.7755365783803,1505,8882802,"Reported"
"Asia","Japan","JPN",11.6998278229509,1415,126529100,"Reported"
"Asia","Jordan","JOR",8.3804148542709,3192,9965322,"Reported"
"Asia","Kazakhstan","KAZ",12.2595390039254,1195,18276453,"Reported"
"Asia","Kuwait","KWT",9.16777893873074,2750,4137314,"Reported"
"Asia","Kyrgyzstan","KGZ",10.6244579022214,1051,6322801,"Reported"
"Asia","Laos","LAO",10.9543657458217,1426,7061498,"Reported"
"Asia","Lebanon","LBN",6.44024687656046,3344,6859408,"Reported"
"Asia","Macao SAR China","MAC",11.5814857105643,1453,631633,"Borrowed"
"Asia","Malaysia","MYS",11.1784918510149,1364,31528033,"Reported"
"Asia","Maldives","MDV",9.23622067509242,2044,515704,"Reported"
"Asia","Mongolia","MNG",14.4618450026243,924,3170214,"Reported"
"Asia","Myanmar (Burma)","MMR",13.3865843595437,1500,53708318,"Reported"
"Asia","Nepal","NPL",7.04370662386633,2664,28095712,"Reported"
"Asia","North Korea","PRK",9.916542141253,1502,25549606,"Borrowed"
"Asia","Oman","OMN",7.53933174453182,3412,4829476,"Reported"
"Asia","Pakistan","PAK",8.05512755527327,2286,212228288,"Reported"
"Asia","Palestinian Territories","PSE",8.50293922152063,2653,4569089,"Reported"
"Asia","Philippines","PHL",10.9571758106148,1142,106651394,"Reported"
"Asia","Qatar","QAT",7.36445054105176,3375,2781682,"Reported"
"Asia","Saudi Arabia","SAU",8.61601611862123,3180,33702757,"Reported"
"Asia","Singapore","SGP",10.6751381581133,1592,5638677,"Reported"
"Asia","South Korea","KOR",9.916542141253,1502,51585060,"Reported"
"Asia","Sri Lanka","LKA",9.78815080041054,1570,21670001,"Reported"
"Asia","Syria","SYR",6.80430309309728,3594,16945062,"Reported"
"Asia","Taiwan","TWN",10.8064949065805,1565,NA,"Reported"
"Asia","Tajikistan","TJK",11.493816504401,1194,9100847,"Reported"
"Asia","Thailand","THA",11.0201484535465,1218,69428454,"Reported"
"Asia","Timor-Leste","TLS",10.2564042711674,1326,1267975,"Reported"
"Asia","Turkey","TUR",5,4311,82340090,"Reported"
"Asia","Turkmenistan","TKM",11.8331027431888,1269,5850902,"Reported"
"Asia","United Arab Emirates","ARE",7.67800870593671,3270,9630966,"Reported"
"Asia","Uzbekistan","UZB",12.8140828659417,1128,32956102,"Reported"
"Asia","Vietnam","VNM",11.1160872797809,1540,95545959,"Reported"
"Asia","Yemen","YEM",7.54035220800894,2657,28498683,"Reported"
"Europe","Albania","ALB",13.266098615719,959,2866376,"Reported"
"Europe","Andorra","AND",11.2997298612774,999,NA,"Borrowed"
"Europe","Austria","AUT",11.9963744467272,1345,8840522,"Reported"
"Europe","Belarus","BLR",11.0502114125193,1582,9438786,"Reported"
"Europe","Belgium","BEL",11.257312710061,974,11427053,"Reported"
"Europe","Bosnia & Herzegovina","BIH",11.4939412335795,1729,3323929,"Reported"
"Europe","Bulgaria","BGR",11.8674959552779,845,7025037,"Reported"
"Europe","Channel Islands","CHI",11.2929313571294,1016,170496,"Borrowed"
"Europe","Croatia","HRV",16,990,4087846,"Reported"
"Europe","Czechia","CZE",11.2143855113852,1352,10629927,"Reported"
"Europe","Denmark","DNK",10.8893956514416,1417,5793635,"Reported"
"Europe","Estonia","EST",11.5310056814994,1818,1321977,"Reported"
"Europe","Faroe Islands","FRO",10.8893956514416,1417,NA,"Borrowed"
"Europe","Finland","FIN",11.7752378417333,1219,5515524,"Reported"
"Europe","France","FRA",11.2997298612774,999,67101930,"Reported"
"Europe","Germany","DEU",11.2679284814058,1283,82905784,"Reported"
"Europe","Gibraltar","GIB",12.0650079187195,999,NA,"Borrowed"
"Europe","Greece","GRC",10.7993354814099,1369,10732879,"Reported"
"Europe","Greenland","GRL",10.8893956514416,1417,NA,"Borrowed"
"Europe","Hungary","HUN",10.5844973570354,985,9775563,"Reported"
"Europe","Iceland","ISL",11.1672106901477,1331,352721,"Reported"
"Europe","Ireland","IRL",10.8974478758796,1060,4867317,"Reported"
"Europe","Isle of Man","IMN",11.2929313571294,1016,NA,"Borrowed"
"Europe","Italy","ITA",11.5417031560375,1100,60421763,"Reported"
"Europe","Kosovo","XKX",11.5807464482759,1072,NA,"Borrowed"
"Europe","Latvia","LVA",13.0369118650181,1810,1927174,"Reported"
"Europe","Liechtenstein","LIE",11.4778037743458,930,NA,"Borrowed"
"Europe","Lithuania","LTU",12.8199965225349,1385,2801542,"Reported"
"Europe","Luxembourg","LUX",11.9424034494414,1813,607949,"Reported"
"Europe","Malta","MLT",10.749583553982,1603,484628,"Reported"
"Europe","Moldova","MDA",12.002634259688,1452,2708212,"Reported"
"Europe","Monaco","MCO",11.2997298612774,999,NA,"Borrowed"
"Europe","Montenegro","MNE",14.5577963950595,1139,622227,"Reported"
"Europe","Netherlands","NLD",11.1088757678202,845,17231624,"Reported"
"Europe","North Macedonia","MKD",11.2846997954542,1310,2076217,"Reported"
"Europe","Norway","NOR",11.6744125151925,1419,5311915,"Reported"
"Europe","Poland","POL",11.1205067112195,1588,37974749,"Reported"
"Europe","Portugal","PRT",11.2808748103791,1327,10283821,"Reported"
"Europe","Romania","ROU",12.522036790836,1108,19473970,"Reported"
"Europe","Russia","RUS",14.042411793965,1083,144477858,"Reported"
"Europe","San Marino","SMR",11.5417031560375,1100,NA,"Borrowed"
"Europe","Serbia","SRB",11.5807464482759,1072,6982604,"Reported"
"Europe","Slovakia","SVK",10.7766580156235,1209,5446772,"Reported"
"Europe","Slovenia","SVN",11.14192862483,1489,2073893,"Reported"
"Europe","Spain","ESP",12.0650079187195,999,46797752,"Reported"
"Europe","Sweden","SWE",11.8641502583377,1004,10175214,"Reported"
"Europe","Switzerland","CHE",11.4778037743458,930,8514327,"Reported"
"Europe","Ukraine","UKR",11.469769173456,1191,44622519,"Reported"
"Europe","United Kingdom","GBR",11.2929313571294,1016,66460344,"Reported"
"Oceania","American Samoa","ASM",9.92563318263429,1655,NA,"Borrowed"
"Oceania","Australia","AUS",11.6542132163695,846,24982690,"Reported"
"Oceania","Fiji","FJI",10.6143068199423,1380,883490,"Reported"
"Oceania","French Polynesia","PYF",9.92563318263429,1655,277673,"Borrowed"
"Oceania","Guam","GUM",10.9671379281166,1513,165770,"Borrowed"
"Oceania","Kiribati","KIR",10.608057019054,1773,115842,"Reported"
"Oceania","Marshall Islands","MHL",10.4728833019477,1486,NA,"Reported"
"Oceania","Micronesia (Federated States of)","FSM",10.9671379281166,1513,112640,"Reported"
"Oceania","Nauru","NRU",10.4728833019477,1486,NA,"Borrowed"
"Oceania","New Caledonia","NCL",9.78525112099169,1894,270650,"Borrowed"
"Oceania","New Zealand","NZL",11.596294239761,917,4900600,"Reported"
"Oceania","Northern Mariana Islands","MNP",10.9671379281166,1513,NA,"Borrowed"
"Oceania","Palau","PLW",10.9671379281166,1513,NA,"Borrowed"
"Oceania","Papua New Guinea","PNG",11.5501451514305,1513,8606324,"Reported"
"Oceania","Samoa","WSM",9.92563318263429,1655,196128,"Reported"
"Oceania","Solomon Islands","SLB",10.3390038111183,1545,652856,"Reported"
"Oceania","Tonga","TON",10.5033277567352,1515,103199,"Reported"
"Oceania","Tuvalu","TUV",9.92563318263429,1655,NA,"Borrowed"
"Oceania","Vanuatu","VUT",9.78525112099169,1894,292675,"Reported"
